









Frequency of observations in the selected location(s).:
Number of taxa: 	476

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3856.0	2322.0	2246.0	2819.0	2062.0	2865.0	4869.0	2362.0	2608.0	2984.0	3171.0	4587.0	3979.0	4485.0	4096.0	6519.0	6577.0	6640.0	5001.0	5184.0	2684.0	2525.0	2436.0	2803.0	2245.0	1888.0	1980.0	3001.0	2091.0	2080.0	2105.0	3259.0	2531.0	2553.0	2374.0	2942.0	2371.0	2897.0	2033.0	2893.0	2097.0	2122.0	1982.0	2732.0	1761.0	1799.0	1994.0	3528.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081993	0.0	0.0	0.0	0.0	0.0	0.0053216	0.0	0.0	0.0	0.0063338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0010373	0.0077519	0.0013357	0.0	0.0015	3.49E-4	0.0	4.234E-4	0.0030675	0.0040214	0.0034689	0.001308	7.54E-4	2.23E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.435E-4	0.0013807	0.0	0.0013826	4.769E-4	4.713E-4	0.0015	0.0015	0.0011357	0.0016676	0.0015	0.0011338	
Ross's Goose	0.0010373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.834E-4	0.0	0.0022075	4.36E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028612	0.0169651	0.0131181	0.0069546	0.0051107	0.0044469	0.001003	0.0014172	
Graylag Goose	0.0028527	0.0030146	0.0062333	0.0024832	0.0029098	0.0017452	0.0034915	0.0059272	0.0042178	0.0063673	0.0047304	0.0061042	0.0087962	0.0057971	0.0085449	0.0154932	0.0273681	0.0254518	0.0155969	0.0061728	0.0014903	7.921E-4	0.001642	0.0010703	0.0022272	0.0	5.051E-4	0.0016661	9.565E-4	0.0019231	0.0042755	0.0027616	0.0023706	0.0054837	0.0037911	0.003739	0.0025306	0.0020711	0.0029513	0.0027653	0.0014306	0.0015	0.0015136	0.0036603	5.679E-4	0.0022235	0.0025075	5.669E-4	
Greater White-fronted Goose	0.0015	0.0	0.0053428	0.0035474	4.85E-4	0.0	4.108E-4	4.234E-4	0.0011503	6.702E-4	6.307E-4	0.001308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.003112	0.0030146	0.0017809	0.0024832	0.0043647	0.0031414	0.0024646	0.0016935	0.0019172	0.0020107	0.0028382	0.0041421	0.005529	0.0051282	0.0053711	0.0145728	0.0253915	0.0224398	0.0131974	0.0050154	7.452E-4	0.0015842	0.0012315	0.001427	0.0017817	5.297E-4	5.051E-4	0.0026658	0.0028694	0.0019231	0.0014252	0.0033753	0.0035559	0.0031336	0.0033698	0.003739	0.0016871	0.0027615	0.004427	0.0024196	0.0023844	0.0028275	0.0015136	0.0025622	0.0045429	0.0055586	0.005015	0.0017007	
Brant	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	2.18E-4	0.0	4.459E-4	0.0	0.0	1.52E-4	3.012E-4	0.0	1.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081577	0.0012653	0.0010356	0.004427	0.0024196	0.0033381	9.425E-4	0.0015136	7.321E-4	0.0	0.0	0.0	0.0	
Cackling Goose	0.0033714	0.0	0.0017809	3.547E-4	0.0	0.0013962	0.0020538	0.0059272	0.0019172	0.0030161	0.0053611	0.0037061	2.513E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.212E-4	0.0040789	4.218E-4	0.0013807	0.0019675	0.001037	0.0014306	0.0032988	0.0010091	0.0014641	0.0017036	0.0011117	5.015E-4	0.0019841	
Canada Goose	0.2349585	0.2398794	0.2386465	0.241575	0.2507274	0.2045375	0.1893613	0.3712955	0.458589	0.5147453	0.5707979	0.5570089	0.5732596	0.5754738	0.5600586	0.576929	0.5622624	0.5323795	0.5028994	0.3969907	0.3092399	0.239604	0.2052545	0.1940778	0.2044543	0.2394068	0.2651515	0.3188937	0.3405069	0.3509615	0.3458432	0.3768027	0.3951008	0.4300823	0.4667228	0.4503739	0.4006748	0.4121505	0.385637	0.3653647	0.3481164	0.3336475	0.339556	0.329429	0.3100511	0.3085047	0.2713139	0.2706916	
