Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S158270082,Snow Goose,Anser caerulescens,267,100,US-CO,Adams,L3405151,Barr Lake SP--boat ramp area,39.9476314,-104.7483712,2024-01-06,10:40 AM,eBird - Traveling Count,63,1,2.285,,1,,Multiple bands of 20-30 birds scattered within the thousands of Canada/Cackling Geese. Also some Ross's geese interspersed but clearly Snow are in the majority.,,613192950
S201433878,Snow Goose,Anser caerulescens,267,1,US-CO,Adams,L357698,Clear Creek Valley Park,39.8020004,-105.0409607,2024-11-04,04:20 PM,eBird - Traveling Count,33,1,1.658,,1
S202095496,Snow Goose,Anser caerulescens,267,1,US-CO,Adams,L357698,Clear Creek Valley Park,39.8020004,-105.0409607,2024-11-10,04:34 PM,eBird - Traveling Count,23,1,.821,,1
S203905073,Snow Goose,Anser caerulescens,267,1,US-CO,Adams,L357698,Clear Creek Valley Park,39.8020004,-105.0409607,2024-11-28,02:26 PM,eBird - Traveling Count,28,1,1.271,,1,,Blue morph
S159448526,Snow Goose,Anser caerulescens,267,1,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2024-01-21,07:21 AM,eBird - Traveling Count,71,1,.42,,1
S160332561,Snow Goose,Anser caerulescens,267,2,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2024-02-01,06:50 AM,eBird - Traveling Count,26,1,.353,,1
S158698692,Snow Goose,Anser caerulescens,267,2,US-CO,Arapahoe,L4404096,Westlands Park,39.6120711,-104.9076409,2024-01-12,07:20 AM,eBird - Traveling Count,27,1,.982,,1,,Two blue morph birds among a flock of 400 Canada/Cackling Geese.
S158270082,Ross's Goose,Anser rossii,272,1,US-CO,Adams,L3405151,Barr Lake SP--boat ramp area,39.9476314,-104.7483712,2024-01-06,10:40 AM,eBird - Traveling Count,63,1,2.285,,1,,,,613224849
S159920494,Ross's Goose,Anser rossii,272,1,US-CO,El Paso,L279246,Broadmoor Hotel--Cheyenne Lake (private),38.7908291,-104.851563,2024-01-27,08:51 AM,eBird - Traveling Count,55,1,.222,,1,,,,614068956
S201623619,Snow/Ross's Goose,Anser caerulescens/rossii,274,1,US-CO,Adams,L357698,Clear Creek Valley Park,39.8020004,-105.0409607,2024-11-06,04:48 PM,eBird - Traveling Count,21,1,.756,,1,F Flyover
S158772465,Snow/Ross's Goose,Anser caerulescens/rossii,274,2,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2024-01-13,07:28 AM,eBird - Traveling Count,17,1,.563,,1
